"Station_name","Station_number","Behavior","CVc.CVq","Slope1","p1","R2v1","n1","Slope2","p2","R2v2","n2","Pct_slope_change"
"Tamarac River nr Florian, CSAH1","69036001","mobilizing",0.73,0.18,0,0.14,111,0.26,0,0.17,101,41.22
"Tamarac River nr Stephen, CSAH22","69051001","mobilizing",0.38,0.25,0,0.29,289,0.24,0,0.27,287,-2.4
"Two Rivers nr Hallock, CSAH16","70012001","mobilizing",0.46,0.29,0,0.35,303,0.27,0,0.3,294,-5.38
"South Branch Two Rivers at Hallock, MN175","70018001","mobilizing",0.46,0.21,0,0.11,104,0.28,0,0.14,100,33.96
"South Branch Two Rivers at Lake Bronson, MN","70033001","mobilizing",0.46,0.17,0.01,0.07,89,0.17,0.02,0.06,86,1.82
"Kawishiwi River nr Winton, CSAH18","72030001","chemodynamic",1.21,-0.12,0.08,0.02,143,-0.16,0.02,0.04,138,34.45
"Stony River nr Babbitt, Tomahawk Rd","72045001","chemodynamic",0.9,0.04,0.7,0,76,-0.13,0.33,0.01,70,-419.25
"Little Fork River nr Linden Grove, TH73","76023001","chemodynamic",0.36,-0.05,0.35,0.02,50,-0.02,0.79,0,46,-65.46
"Little Fork River at Little Fork, MN","76090001","chemodynamic",0.49,0.02,0.62,0,251,-0.04,0.27,0.01,240,-336.91
"Little Fork River nr Littlefork, MN65","76099001","chemodynamic",0.49,-0.01,0.88,0,113,-0.05,0.36,0.01,105,598.71
"Big Fork River nr Bigfork, MN6","77031001","chemodynamic",1.01,-0.04,0.62,0,116,-0.01,0.91,0,102,-70.13
"Big Fork River at Big Falls, MN","77069001","mobilizing",0.61,0.16,0,0.06,264,0.12,0.01,0.03,250,-26.35
"Big Fork River nr Craigville, MN6","77107001","mobilizing",0.73,0.22,0,0.07,112,0.15,0.1,0.03,102,-32.38
"East Fork Rapid River nr Clementson, CSAH18","78006001","diluting",0.52,-0.18,0,0.18,93,-0.14,0.01,0.07,85,-24.78
"Rapid River at Clementson, MN11","78007001","mobilizing",0.51,0.04,0.05,0.01,309,0.01,0.66,0,296,-74.51
"Split Rock Creek nr Jasper, 201st St","82015001","mobilizing",0.52,0.6,0,0.5,171,0.59,0,0.47,165,-2.05
"Pipestone Creek nr Pipestone, CSAH13","82034003","mobilizing",0.55,0.6,0,0.55,73,0.71,0,0.56,66,18.1
"Rock River at Luverne, CR4","83016001","mobilizing",0.64,0.71,0,0.52,194,0.71,0,0.51,190,0.1
