"Station_name","Early Winter","Late Winter","Early Summer","Late Summer","Spring","Fall"
"West Branch Lac qui Parle River at Dawson, Diagonal St",NA,NA,NA,4,NA,2
"West Branch Rum River nr Princeton, CR102",NA,NA,NA,NA,NA,1
"West Fork Des Moines River at Jackson, River St",8,8,NA,5,1,2
"West Fork Des Moines River nr Avoca, CSAH6",NA,NA,1,5,1,1
"Whitewater River nr Beaver, CSAH30",7,5,1,5,2,3
"Wild Rice River at Hendrum, MN",8,11,1,14,2,5
"Wild Rice River at Twin Valley, MN",NA,1,NA,4,NA,1
"Wild Rice River nr Mahnomen, CSAH25",NA,NA,NA,5,NA,NA
"Yellow Bank River nr Odessa, CSAH40",6,5,NA,4,NA,2
"Yellow Medicine River nr Granite Falls, MN",7,5,NA,8,2,7
"Yellow Medicine River nr Hanley Falls, CR18",NA,1,NA,7,2,5
"Zumbro River at Kellogg, US61",7,6,NA,9,NA,2
"Total number of sites with >3 samples",50,57,40,128,23,68
